Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1167197|1.00294|52|5|2
Bimbo_1|0|3670016|319324|277521|1.15063|592|49|4
CityMaxCapita_1|0|26049426|11018728|10798335|1.02041|1353|250|13
CMSprovider_1|0|16717728|3729276|3404770|1.09531|1163|251|12
CommonGovernment_1|0|62829650|8193179|6912325|1.1853|6987|838|30
Corporations_1|0|11901857|5105751|3447814|1.48087|918|404|9
Eixo_1|0|60077487|5892367|4530635|1.30056|15388|3408|41
Euro2016_1|0|11418716|5779460|5235012|1.104|119|51|3
Food_1|0|2758131|515805|515001|1.00156|70|13|3
Generico_1|0|42738694|2805958|1847332|1.51892|5804|816|19
HashTags_1|0|92542033|34753667|23978831|1.44935|20015|1493|26
Hatred_1|0|26027696|11533096|11380765|1.01338|1178|187|11
IGlocations1_1|0|6321918|1779851|1839319|0.967668|660|75|8
Medicare1_1|0|12973420|3996314|3370143|1.1858|894|183|11
MedPayment1_1|0|16768400|4681724|4549320|1.0291|1191|189|10
MLB_1|0|18994088|2380651|2213113|1.0757|8256|1593|26
Motos_1|0|42974217|2829428|1873939|1.50988|6090|844|19
MulheresMil_1|0|62416953|5964864|4550952|1.31068|15881|3463|43
NYC_1|0|36490617|3139541|1530577|2.05121|5382|1023|26
PanCreactomy1_1|0|18360922|4037727|3686288|1.09534|1555|312|14
Physicians_1|0|16768116|4686462|4568470|1.02583|1191|186|11
Provider_1|0|16202756|4588180|4500518|1.01948|1221|178|11
RealEstate1_1|0|17820728|4838606|4481591|1.07966|1330|178|7
Redfin1_1|0|22150976|9242876|9078914|1.01806|1398|137|13
Rentabilidad_1|0|70851322|16198993|14911748|1.08632|21693|1627|31
Romance_1|0|21518242|9890585|9867147|1.00238|35|4|2
SalariesFrance_1|0|48707783|9310155|8467600|1.0995|3588|340|18
TableroSistemaPenal_1|0|23289522|802109|287625|2.78873|2252|171|13
Taxpayer_1|0|16195222|4592886|4533824|1.01303|1222|194|11
Telco_1|0|92222061|23897338|22649762|1.05508|54777|13673|77
TrainsUK1_2|0|22067864|3440367|2985056|1.15253|1629|211|15
TrainsUK2_1|0|18144855|3140981|2475357|1.2689|2406|460|15
Uberlandia_1|0|61320125|5959002|4674978|1.27466|15592|3582|40
USCensus_1|0|137735464|8738400|8695439|1.00494|533880|46405|150
Wins_1|0|88869327|14701699|14320582|1.02661|174072|36427|165
YaleLanguages_1|0|18012366|1520217|810639|1.87533|2358|522|19
